component_id,grant_id,lab_name,rnsr_id,evidence_grade,review_status
833309:0,833309,,,unresolved,manual_review
852386:0,852386,,,unresolved,manual_review
852448:0,852448,,,unresolved,manual_review
856529:0,856529,,,unresolved,manual_review
856529:1,856529,,,unresolved,manual_review
863464:0,863464,,,unresolved,manual_review
863473:0,863473,,,unresolved,manual_review
864313:0,864313,,,unresolved,manual_review
864576:0,864576,,,unresolved,manual_review
864729:0,864729,,,unresolved,manual_review
865101:0,865101,,,unresolved,manual_review
865787:0,865787,,,unresolved,manual_review
865844:0,865844,,,unresolved,manual_review
866340:0,866340,,,unresolved,manual_review
866365:0,866365,,,unresolved,manual_review
866454:0,866454,,,unresolved,manual_review
885090:0,885090,,,unresolved,manual_review
885435:0,885435,,,unresolved,manual_review
885593:0,885593,,,unresolved,manual_review
963890:0,963890,,,unresolved,manual_review
856555:0,856555,,,unresolved,manual_review
882450:0,882450,,,unresolved,manual_review
885250:0,885250,,,unresolved,manual_review
899537:0,899537,,,unresolved,manual_review
948800:0,948800,,,unresolved,manual_review
853507:0,853507,,,unresolved,manual_review
865826:0,865826,,,unresolved,manual_review
866533:0,866533,,,unresolved,manual_review
883605:0,883605,,,unresolved,manual_review
884762:0,884762,,,unresolved,manual_review
899539:0,899539,,,unresolved,manual_review
963840:0,963840,,,unresolved,manual_review
851716:0,851716,,,unresolved,manual_review
851793:0,851793,,,unresolved,manual_review
864893:0,864893,,,unresolved,manual_review
865411:0,865411,,,unresolved,manual_review
865711:0,865711,,,unresolved,manual_review
865856:0,865856,,,unresolved,manual_review
883313:0,883313,,,unresolved,manual_review
884715:0,884715,,,unresolved,manual_review
884988:0,884988,,,unresolved,manual_review
885145:0,885145,,,unresolved,manual_review
885414:0,885414,,,unresolved,manual_review
899652:0,899652,,,unresolved,manual_review
948007:0,948007,,,unresolved,manual_review
948319:0,948319,,,unresolved,manual_review
948528:0,948528,,,unresolved,manual_review
948674:0,948674,,,unresolved,manual_review
949221:0,949221,,,unresolved,manual_review
949267:0,949267,,,unresolved,manual_review
949583:0,949583,,,unresolved,manual_review
949730:0,949730,,,unresolved,manual_review
949812:0,949812,,,unresolved,manual_review
951513:0,951513,,,unresolved,manual_review
951513:1,951513,,,unresolved,manual_review
963862:0,963862,,,unresolved,manual_review
963895:0,963895,,,unresolved,manual_review
963967:0,963967,,,unresolved,manual_review
101002355:0,101002355,,,unresolved,manual_review
865629:0,865629,,,unresolved,manual_review
948105:0,948105,,,unresolved,manual_review
948390:0,948390,,,unresolved,manual_review
948516:0,948516,,,unresolved,manual_review
949493:0,949493,,,unresolved,manual_review
949516:0,949516,,,unresolved,manual_review
949963:0,949963,,,unresolved,manual_review
950618:0,950618,,,unresolved,manual_review
963928:0,963928,,,unresolved,manual_review
101000948:0,101000948,,,unresolved,manual_review
882673:0,882673,,,unresolved,manual_review
946959:0,946959,,,unresolved,manual_review
948780:0,948780,,,unresolved,manual_review
950101:0,950101,,,unresolved,manual_review
951475:0,951475,,,unresolved,manual_review
963929:0,963929,,,unresolved,manual_review
963976:0,963976,,,unresolved,manual_review
101001841:0,101001841,,,unresolved,manual_review
101003012:0,101003012,,,unresolved,manual_review
101003431:0,101003431,,,unresolved,manual_review
